g_m,g_T,g_r,g_q,g_sigma,g_eurocall,predict_ann,error_ann
4.65067822,0.171271781,0.030020457,0.003958119,0.274744952,0,-0.000923249,0.000923249
3.860361982,0.316409964,0.076364037,0.033085771,1.955912054,0.104317699,0.100309364,0.004008335
4.809298888,0.683422944,0.021511269,0.000136034,1.274640891,0.064177645,0.050884187,0.013293458
1.45148273,1.607336981,0.023753838,0.017798254,0.236113925,0.018921228,0.013663055,0.005258173
2.712603194,0.701620441,0.052687808,0.007572288,0.548664921,0.004661694,0.006264017,0.001602322
3.759060843,0.655698712,0.034180619,0.044898852,1.0634092,0.040101394,0.046434965,0.006333571
1.64862787,1.265225945,0.071577534,0.010233146,1.80890213,0.614686878,0.6101388,0.004548104
2.276366069,1.234003039,0.04255916,0.010716666,1.183655322,0.290763041,0.28957063,0.001192411
2.625186539,0.759475303,0.034333362,0.007213343,1.459853793,0.240281624,0.22945377,0.010827852
3.113051383,0.391736761,0.013213967,0.047606478,0.547492227,6.12E-05,-0.000188053,0.000249272
4.184327121,1.297924089,0.062898328,0.044279383,1.176305574,0.167631299,0.16296557,0.004665733
0.791151417,0.870228414,0.05472692,0.021846074,1.993582215,0.679471973,0.6812352,0.001763222
3.899343833,1.628041699,0.066501711,0.029663973,0.103403069,0,-0.000236722,0.000236722
4.886957353,1.440256448,0.024023046,0.006452559,1.995695849,0.548794207,0.5478964,0.000897822
1.775518424,1.016629885,0.056455792,0.019899628,1.068966758,0.254689075,0.2545035,0.000185586
0.930277788,0.747037248,0.042697322,0.048335651,0.367904148,0.152232598,0.1568072,0.004574601
4.149639688,0.80969602,0.029777978,0.031420858,1.561653703,0.193978621,0.185248,0.008730619
2.829605203,0.469373902,0.037773151,0.040848511,0.64389241,0.002182641,-4.30E-05,0.002225616
4.293522547,1.255480348,0.046508271,0.006413249,0.927843758,0.077032724,0.07822837,0.001195645
4.370484564,1.217043773,0.065595054,0.007063601,1.741680024,0.402786237,0.40504006,0.002253819
4.086404063,1.475564557,0.067098172,0.04554487,1.339563214,0.275921578,0.27140343,0.004518146
3.287162341,0.869385309,0.0792121,0.013912987,1.190570358,0.140314633,0.1432431,0.002928471
4.58377645,0.313739726,0.028139444,0.02785338,0.303218635,0,-0.000418275,0.000418275
4.940758863,1.08064259,0.030506325,0.010479218,1.655415105,0.291612677,0.28936574,0.002246939
1.814178245,0.150073228,0.038948272,0.015223497,0.924647004,0.009730629,0.007364245,0.002366385
0.363277835,0.759475303,0.062218868,0.035246641,0.155949749,0.627075274,0.6199355,0.007139761
2.712657439,1.718546776,0.016746225,0.014035821,1.566026084,0.516888475,0.51117706,0.005711412
1.691973089,1.054228519,0.013322401,0.023658136,1.550263457,0.445554433,0.44682804,0.001273605
3.659023239,0.178318844,0.077045508,0.048328847,1.895736646,0.032092276,0.028345244,0.003747032
4.624000454,0.421142217,0.066037396,0.011718029,0.873562078,0.00139636,-7.29E-05,0.001469268
3.27294697,0.085355096,0.024161491,0.033565657,1.084086891,1.21E-05,-0.000168338,0.000180417
4.788453955,1.83455228,0.059023006,0.008454342,0.753161556,0.063555339,0.061174586,0.002380752
2.488900095,1.562816488,0.074634455,0.042753466,0.915823042,0.195771197,0.1966849,0.0009137
2.047451651,1.635526453,0.018210231,0.042050061,1.018617871,0.276499971,0.27304307,0.003456905
3.428968904,1.310325333,0.062898328,0.012719141,1.435876057,0.337265946,0.33277285,0.004493095
0.861963529,0.409792378,0.026637418,0.009428481,1.079206314,0.327606149,0.32732818,0.000277973
3.35116948,0.859312888,0.018142778,0.016249115,1.013740179,0.073830526,0.06193691,0.011893615
1.109252396,0.379620621,0.057681933,0.029559731,1.882831056,0.407444931,0.40828195,0.000837021
0.626811021,1.025136009,0.078670324,0.012639118,0.884388849,0.517523843,0.50953627,0.007987577
4.695338282,0.93249079,0.035933757,0.028532522,1.446500773,0.171246543,0.17732663,0.006080091
2.835988942,0.037529155,0.072445116,0.049146399,0.226495274,0,-0.000344232,0.000344232
