g_m,g_T,g_r,g_q,g_sigma,g_eurocall
2.422275942,0.705191199,0.058786828,0.035864672,0.564793681,0.009216346
2.706027181,0.676044835,0.068680127,0.031605746,0.741232235,0.022168228
0.982714347,1.360036379,0.04761661,0.018699608,0.287972123,0.155099213
3.112748051,0.890915105,0.038204757,0.015157661,0.476835975,0.001632288
1.421388139,1.80681249,0.053877164,0.001718585,1.038865909,0.450781648
3.358228943,0.668662081,0.027312992,0.044510423,0.175640884,2.45E-19
4.792876188,1.692023639,0.015468916,0.00467846,1.685041395,0.479518776
2.484230423,0.141438583,0.076320944,0.026370677,1.159262855,0.004690143
3.371129695,0.330539242,0.065839902,0.032185587,0.054341621,0
0.388214926,1.842111575,0.077944869,0.031011215,0.917226146,0.679558707
2.280440378,0.783056075,0.005929758,0.016823373,1.034685879,0.126801479
0.333507992,1.681101043,0.008691376,0.003312909,0.457747025,0.669740187
2.717474672,1.313048077,0.037325863,0.029562858,1.169095238,0.24887687
0.99483199,1.057805877,0.031218554,0.031278089,0.876933581,0.338273117
3.504616207,1.080184231,0.038532411,0.043509646,1.469378678,0.265160133
0.226459411,0.208780785,0.075677918,0.032591774,0.516095092,0.770309113
3.211664594,1.665787579,0.062109708,0.042228531,1.856172728,0.576508443
2.558599481,1.387081004,0.060457744,0.001504839,1.378706714,0.398389349
1.456901939,0.467938447,0.061803711,0.044465343,0.143164816,2.33E-06
2.675735684,1.975053996,0.041742184,0.049481067,1.257125433,0.384975121
1.577945709,1.35209209,0.054321019,0.041245643,0.996514357,0.300279719
2.07579189,1.260439823,0.075346981,0.015697948,0.661623363,0.100575768
4.701501144,1.252302265,0.053583102,0.013741065,0.999853637,0.087414938
2.811050212,0.561048595,0.014402364,0.016181884,1.363170521,0.126949038
0.268951287,0.451060037,0.020061607,0.041661074,1.530263656,0.738237767
4.87821069,0.772173896,0.052883697,0.031367112,0.548448549,0.000152176
4.840088122,0.319327477,0.009698435,0.044493517,0.080361841,9.12E-271
1.306715609,1.259968648,0.02450863,0.032093528,0.127595867,0.001592588
3.14710717,1.16076411,0.031212121,0.032185587,1.160069388,0.184190783
4.279472165,1.576536814,0.013730156,0.029815257,0.69552531,0.030177904
4.874223523,1.727515626,0.06693716,0.023116266,1.209465924,0.245304059
2.673789428,1.296618384,0.041894867,0.019427699,0.398077668,0.004446887
3.239996281,0.71252967,0.078090129,0.035304656,0.997830489,0.054827296
3.92625218,1.75821324,0.031827171,0.017438296,1.703568227,0.525148931
4.07967402,0.012869527,0.050964703,0.010449993,1.568674013,6.23E-17
1.683417581,0.860028024,0.041427871,0.016123993,0.946107144,0.18727234
0.966389088,1.689762738,0.004436263,0.040262547,0.475289349,0.217414163
3.390029196,1.855430371,0.044221294,0.016578389,1.041135732,0.24491334
4.034438678,1.864335623,0.041662903,0.019684136,1.507042484,0.450378848
1.124430006,1.160727961,0.055327347,0.032356217,1.665362415,0.590834444
2.295512217,1.066898839,0.054902242,0.040955676,0.389152692,0.004457311
4.625866458,1.709735384,0.054367095,0.021177569,1.510154753,0.399157659
2.860789439,0.243207678,0.021458268,0.032577626,0.603006306,2.43E-05
1.161085926,1.271775071,0.00751627,0.024205238,1.405154668,0.518703038
1.441521429,1.51776584,0.043835272,0.044633405,0.102075675,7.18E-05
1.516351786,1.548803909,0.021905864,0.029709629,1.380254687,0.499887699
