g_m,g_T,g_r,g_q,g_sigma,g_amercall_fde
2.554315642,1.199890411,0.062127259,0.032042333,1.236135235,0.273360282
2.59104841,0.451945205,0.007609293,0.047608928,0.867735434,0.017784606
3.868265883,0.701260274,0.061170711,0.049662363,0.918708762,0.022194434
2.64671994,0.087671233,0.009044925,0.027802956,0.062435244,0
3.755168909,0.030136986,0.032019107,0.035881405,1.325499453,0
3.583501413,0.27660274,0.038947521,0.015174238,1.528692141,0.033978827
4.350568128,0.010958904,0.051453688,0.026316085,0.344301715,0
3.695729739,0.049315068,0.026272845,0.02938285,1.29903318,3.29E-07
1.399060835,1.199890411,0.000656691,0.043150851,1.083243965,0.328971759
4.84482914,1.449205479,0.039464471,0.045051429,0.502498237,0.00163817
1.137903715,0.375232877,0.03259538,0.048609404,0.916127986,0.16808388
4.238742486,0.375232877,0.048154478,0.000807695,0.054515422,0
1.256934167,1.199890411,0.061654664,0.049895368,1.499056843,0.518645789
4.911029276,1.698520548,0.066897631,0.011234065,0.953702875,0.125601632
4.660754674,1.199890411,0.037390303,0.011721246,1.497945125,0.271195895
3.804704535,1.698520548,0.048724717,0.042428914,0.533633486,0.013030603
4.371430351,0.049315068,0.016976548,0.040062676,0.103113512,0
2.486554121,1.046575342,0.026691298,0.035913908,0.906059587,0.111745347
3.812198231,0.087671233,0.024731143,0.045642384,0.113451617,0
2.461092322,1.449205479,0.063428371,0.032404682,0.425793986,0.014355878
3.937513469,0.010958904,0.013140962,0.009139672,1.229031722,0
1.056413387,0.126027397,0.03259538,0.006992019,1.010776855,0.121043393
3.873860132,0.068493151,0.050541709,0.023998715,0.130951746,0
1.63756517,0.126027397,0.061170711,0.029466528,1.624544808,0.078956128
0.620261673,0.126027397,0.065672068,0.033546524,0.513689643,0.380834674
2.732964855,0.106849315,0.005273388,0.028693313,0.911285043,4.51E-05
1.564087138,0.049315068,0.071239473,5.84E-06,0.125142075,0
1.396260758,0.106849315,0.062139949,0.000337217,0.660269077,0.007152254
0.263483562,1.046575342,0.067760934,0.004975693,0.146639981,0.749328924
3.657574383,0.528657534,0.043817616,0.006631219,0.736813099,0.002746084
0.864751576,0.701260274,0.014709555,0.022538429,1.400396832,0.47492005
4.973087177,0.126027397,0.03468979,0.019286739,0.270587111,0
4.974513833,1.199890411,0.062142961,0.003586104,1.355464285,0.208302778
1.828575458,1.199890411,0.017300324,0.045460747,1.499056843,0.433885271
1.292875638,0.451945205,0.008600627,0.019618471,1.030630733,0.180753694
1.1740867,0.010958904,0.044117725,0.000337217,0.522113279,2.92E-05
1.778895747,0.701260274,0.075430388,0.049525498,1.061140952,0.173223902
