g_m,g_T,g_r,g_q,g_sigma,g_amercall_fde
0.979908373,0.049315068,0.075783006,0.035967293,1.941544922,0.179719186
1.110442016,0.451945205,0.071695682,0.020379503,1.632655698,0.388614324
1.099226888,0.068493151,0.051024417,0.023458045,1.253184241,0.093228237
0.856045257,0.068493151,0.056972859,0.035878507,0.75006708,0.166571067
1.065883531,0.27660274,0.038165645,0.037558815,1.477805098,0.276705153
0.903098751,0.375232877,0.029553726,0.004447425,1.146631894,0.31449121
1.169376703,0.528657534,0.048336589,0.015032067,1.4331326,0.35259286
1.065452526,1.698520548,0.04690499,0.018141841,0.650042425,0.313807331
0.927788057,0.087671233,0.018741458,0.017371927,1.353483182,0.191620668
0.83592549,0.528657534,0.011564934,0.037870654,1.711490111,0.501933309
0.952450357,0.202630137,0.032052229,0.0281785,1.589856395,0.294438051
0.992271329,0.451945205,0.047149525,0.003335965,1.140310696,0.306899855
0.954953268,0.068493151,0.022094698,0.047670659,1.697518666,0.194036539
1.141953838,1.046575342,0.042867137,0.037216543,1.654365005,0.559471567
0.836469714,0.528657534,0.014118158,0.004167157,0.761487284,0.293232168
1.172486849,0.106849315,0.074532348,0.017275191,0.639634562,0.030395162
0.803802271,1.698520548,0.07301682,0.049599486,1.182707514,0.578905607
1.156418567,1.046575342,0.054633831,0.002835284,0.327490505,0.096242872
0.920257597,0.528657534,0.001647605,0.036686386,0.904506,0.278247238
1.019868752,0.528657534,0.073759134,0.018363354,0.411027611,0.121521454
1.081753953,0.451945205,0.023293305,0.042925193,0.231301634,0.028688375
1.166662976,0.27660274,0.019128204,0.037180504,0.843950374,0.114722741
1.048177538,1.449205479,0.007457418,0.006668683,1.801805532,0.709592559
0.97767356,1.046575342,0.008054871,0.030939887,1.243006633,0.463289275
0.826549271,0.010958904,0.024060643,0.035889335,1.614005019,0.183278948
1.117574938,0.087671233,0.012736431,0.02402593,0.082998521,1.32E-08
0.808762879,0.126027397,0.031186389,0.005902047,1.96269073,0.353838311
0.920957847,0.451945205,0.002183726,0.015972616,1.567704142,0.421281895
0.800873433,0.087671233,0.010243796,0.029258937,0.928878193,0.226917634
0.962610393,2.043835616,0.049909145,0.046279553,0.639634562,0.342481968
1.078792223,1.449205479,0.002548148,0.043779808,1.758379087,0.660408817
1.079186737,0.126027397,0.015532786,0.031615241,0.417448006,0.029071331
1.118918469,0.701260274,0.039893651,0.023049309,0.158661551,0.017713188
1.071229772,0.701260274,0.058445938,0.000402375,0.771436836,0.242313545
0.93617112,0.375232877,0.002680962,0.000439918,0.064367881,0.065294613
0.971712109,0.701260274,0.012382295,0.009970701,1.494216759,0.473003162
0.926443332,0.451945205,0.078392182,0.028699069,1.515741108,0.414012015
1.048331098,0.451945205,0.03838152,0.019037642,1.468084161,0.362562743
0.990995739,0.068493151,0.055720333,0.001045399,0.163872698,0.024102377
0.896269651,0.049315068,0.037210072,0.00995995,1.941745886,0.219332756
1.169441532,0.030136986,0.039893651,0.000569116,1.538389466,0.049914
1.179493551,1.698520548,0.04526313,0.000569116,1.319591184,0.591664299
